id,crypto_id,price_usd,market_cap_usd,volume_usd_24hr,timestamp
2,bitcoin,108915.31,2165962242295.01,16515120927.41,2025-07-03 00:23:22.864563
3,ethereum,2570.65,310322489798.03,11490517916.17,2025-07-03 00:23:22.865225
4,tether,1.0,157886735471.95,35992037601.06,2025-07-03 00:23:22.865292
5,xrp,2.23,131896595131.17,1900101382.29,2025-07-03 00:23:22.865340
6,binance-coin,659.55,94978989267.7,428000886.01,2025-07-03 00:23:22.865384
7,solana,152.37,81458954586.29,2304777693.2,2025-07-03 00:23:22.865425
8,usd-coin,1.0,61790901671.14,6782196992.59,2025-07-03 00:23:22.865481
9,tron,0.28,27008711572.08,236203047.0,2025-07-03 00:23:22.865531
10,dogecoin,0.17,25289223047.19,768613876.65,2025-07-03 00:23:22.865573
11,steth,2571.88,23403440430.78,20987518.41,2025-07-03 00:23:22.865612
12,cardano,0.59,20710617824.77,524767656.44,2025-07-03 00:23:22.865652
13,wrapped-bitcoin,108878.86,14047358367.27,110081488.27,2025-07-03 00:23:22.865698
14,hyperliquid,39.8,13290999095.72,234496245.63,2025-07-03 00:23:22.865739
15,bitcoin-cash,513.87,10221822677.71,164108358.14,2025-07-03 00:23:22.865777
16,sui,2.9,10010610785.46,743486443.32,2025-07-03 00:23:22.865821
17,chainlink,13.56,9196693652.37,258646005.82,2025-07-03 00:23:22.865860
18,weth,2570.65,8676769514.25,537916963.6,2025-07-03 00:23:22.865898
19,unus-sed-leo,8.99,8300432948.55,2909134.76,2025-07-03 00:23:22.865935
20,avalanche,18.55,7832492380.66,215450503.11,2025-07-03 00:23:22.865974
21,stellar,0.24,7387660482.39,73412305.41,2025-07-03 00:23:22.866010
22,bitcoin-bep2,108910.1,7102379184.62,28059247.02,2025-07-03 00:23:22.866047
23,toncoin,2.87,7084153293.95,88066878.67,2025-07-03 00:23:22.866083
24,shiba-inu,0.0,6959072010.49,76232611.69,2025-07-03 00:23:22.866123
25,litecoin,87.44,6648231503.68,244261148.71,2025-07-03 00:23:22.866161
26,hedera-hashgraph,0.16,6597686119.96,88933322.93,2025-07-03 00:23:22.866198
27,monero,321.61,5932611962.25,89298511.77,2025-07-03 00:23:22.866240
28,polkadot,3.55,5403033689.91,155933840.78,2025-07-03 00:23:22.866279
29,bitget-token-new,4.59,5368815674.36,93313977.95,2025-07-03 00:23:22.866315
30,multi-collateral-dai,1.0,5363792100.54,60081356.8,2025-07-03 00:23:22.866353
